type,sourceName,sourceVersion,productType,device,Date,endDate,activityType,duration,durationUnit,totalEnergyBurned,totalDistance,totalSwimmingStrokeCount,totalFlightsClimbed,HKAverageMETs,HKIndoorWorkout,HKWeatherHumidity,HKWeatherTemperature,HKTimeZone
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-05 22:34:21 +0000,2021-11-06 00:34:07 +0000,TraditionalStrengthTraining,7185.24350297451,sec,1212.62 kcal,,,,6.70152 kcal/hr·kg,0,7900 %,48.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-08 23:49:45 +0000,2021-11-09 01:21:35 +0000,TraditionalStrengthTraining,5510.422186970711,sec,954.36 kcal,,,,6.70107 kcal/hr·kg,0,4000 %,50 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-09 19:36:42 +0000,2021-11-09 20:51:37 +0000,TraditionalStrengthTraining,4494.814821004868,sec,727.198 kcal,,,,6.48508 kcal/hr·kg,0,7900 %,48.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-10 23:59:20 +0000,2021-11-11 01:08:37 +0000,TraditionalStrengthTraining,4156.984523057938,sec,690.979 kcal,,,,6.71643 kcal/hr·kg,0,6200 %,44.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-12 01:18:37 +0000,2021-11-12 02:46:18 +0000,TraditionalStrengthTraining,5260.721915006638,sec,1024.34 kcal,,,,8.00784 kcal/hr·kg,0,8400 %,41 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-12 22:22:38 +0000,2021-11-12 23:12:07 +0000,TraditionalStrengthTraining,2968.4436089992523,sec,439.225 kcal,,,,5.81355 kcal/hr·kg,0,10000 %,44.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-14 23:16:59 +0000,2021-11-15 00:20:04 +0000,TraditionalStrengthTraining,3784.666489005089,sec,416.717 kcal,,,,3.83428 kcal/hr·kg,0,6900 %,59 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-16 00:04:34 +0000,2021-11-16 01:19:38 +0000,TraditionalStrengthTraining,4503.768527030945,sec,822.71 kcal,,,,7.4378 kcal/hr·kg,0,4300 %,59 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-16 19:53:46 +0000,2021-11-16 20:54:24 +0000,TraditionalStrengthTraining,3638.1501359939575,sec,774.704 kcal,,,,8.60446 kcal/hr·kg,0,5000 %,42.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-18 00:41:38 +0000,2021-11-18 02:18:04 +0000,TraditionalStrengthTraining,5786.654029965401,sec,1484.21 kcal,,,,10.5699 kcal/hr·kg,0,5600 %,35.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-19 01:28:20 +0000,2021-11-19 02:54:28 +0000,TraditionalStrengthTraining,5168.018141031265,sec,1223.55 kcal,,,,9.85454 kcal/hr·kg,0,9300 %,33.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-22 03:51:21 +0000,2021-11-22 04:55:07 +0000,TraditionalStrengthTraining,3825.15134704113,sec,451.254 kcal,,,,4.37409 kcal/hr·kg,0,9100 %,33.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-11-30 19:21:14 +0000,2021-11-30 20:28:44 +0000,TraditionalStrengthTraining,4050.187034010887,sec,998.111 kcal,,,,10.2494 kcal/hr·kg,0,7400 %,50 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-12-13 18:40:45 +0000,2021-12-13 19:49:03 +0000,TraditionalStrengthTraining,4097.2821829319,sec,878.023 kcal,,,,8.81295 kcal/hr·kg,0,7900 %,35.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2021-12-16 18:28:03 +0000,2021-12-16 19:57:58 +0000,TraditionalStrengthTraining,5395.169715046883,sec,946.579 kcal,,,,7.18494 kcal/hr·kg,0,8800 %,32 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-12 00:44:35 +0000,2022-01-12 01:58:53 +0000,TraditionalStrengthTraining,4457.707489013672,sec,1047.56 kcal,,,,9.70818 kcal/hr·kg,0,8900 %,37.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-13 00:13:47 +0000,2022-01-13 00:52:47 +0000,TraditionalStrengthTraining,2339.1830019950867,sec,533.455 kcal,,,,9.57227 kcal/hr·kg,0,9200 %,39.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-15 00:05:43 +0000,2022-01-15 01:21:32 +0000,TraditionalStrengthTraining,4549.29657804966,sec,781.508 kcal,,,,6.99443 kcal/hr·kg,0,9700 %,35.6 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-15 23:26:18 +0000,2022-01-16 00:34:35 +0000,TraditionalStrengthTraining,4097.154319047928,sec,856.261 kcal,,,,8.82321 kcal/hr·kg,0,8400 %,37.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-20 00:01:14 +0000,2022-01-20 00:58:20 +0000,TraditionalStrengthTraining,3425.3941320180893,sec,805.739 kcal,,,,9.81037 kcal/hr·kg,0,8700 %,37.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-24 00:52:30 +0000,2022-01-24 02:05:12 +0000,TraditionalStrengthTraining,4362.776584982872,sec,664.951 kcal,,,,6.06028 kcal/hr·kg,0,9700 %,30.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-27 01:44:58 +0000,2022-01-27 03:07:46 +0000,TraditionalStrengthTraining,4967.743865013123,sec,784.743 kcal,,,,6.42457 kcal/hr·kg,0,8100 %,30.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-28 01:03:39 +0000,2022-01-28 02:59:36 +0000,TraditionalStrengthTraining,6957.0728969573975,sec,990.084 kcal,,,,5.44546 kcal/hr·kg,0,6900 %,33.8 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-01-31 23:40:48 +0000,2022-02-01 01:13:33 +0000,TraditionalStrengthTraining,5565.458341002464,sec,814.115 kcal,,,,5.80131 kcal/hr·kg,0,6100 %,37.4 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-02 01:06:03 +0000,2022-02-02 02:39:56 +0000,TraditionalStrengthTraining,5632.977198958397,sec,669.468 kcal,,,,4.21511 kcal/hr·kg,0,7100 %,30.2 degF,America/Los_Angeles
HKWorkoutTypeIdentifier,James’s Apple Watch,7.5,"Watch6,2","<<HKDevice: 0x283a8cb90>, name:Apple Watch, manufacturer:Apple Inc., model:Watch, hardware:Watch6,2, software:7.5>",2022-02-03 01:08:48 +0000,2022-02-03 02:09:07 +0000,TraditionalStrengthTraining,3618.7164199352264,sec,675.007 kcal,,,,7.56451 kcal/hr·kg,0,8100 %,23 degF,America/Los_Angeles
